system,poeng,snittForr,snittTek,timer,kategori
Telefly,98,5.16,2.50,30,Fagsystem
Autosys,78,4.10,2.00,30,Fagsystem
PLBsys,96,5.05,2.00,30,Fagsystem
Tilsynsat,77,4.20,5.96,30,Fagsystem
Nettprioritet,75,4.41,2.00,30,Fagsystem
Nettutfall,49,2.88,3.50,30,Fagsystem
Ekomstat,45,2.60,2.00,30,Fagsystem
5-siffer,75,4.17,2.50,30,Fagsystem
Numsys,87,4.83,2.50,30,Fagsystem
ICS,0,5.50,3.00,30,Fagsystem
Kunderegister,0,5.50,5.50,30,Fagsystem
Jira,0,4.00,5.00,5,IT stotte
Sensedesk,0,5.00,5.00,5,IT stotte
Compose,0,3.00,3.00,5,IT stotte
Jasper Reports,0,1.00,2.50,5,IT stotte
MSSCOM,0,4.00,5.00,5,IT stotte
VMWare,0,4.00,4.00,5,IT stotte
MSSCCM,0,4.00,4.00,5,IT stotte
Webdok,0,6.00,2.00,50,Kjernesystem
Agresso,0,6.00,2.00,50,Kjernesystem
Nkom.no,0,6.00,5.50,50,Kjernesystem
Contempus,0,5.00,4.00,50,Kjernesystem
MinHR/DFØ,0,5.00,5.00,50,Kjernesystem
Exchange,0,5.00,2.50,40,Samhandling
Skype,0,5.00,3.00,40,Samhandling
Confluence,0,3.50,4.00,40,Samhandling
Sharepoint,0,4.00,4.00,40,Samhandling
Active Directory,0,4.00,4.00,40,Samhandling					
FortiVPN,0,5.50,5.50,10,Nettverk
Citrix,0,2.00,2.00,10,Nettverk
Point sharp,0,4.00,4.00,10,Nettverk
DNS,0,6.00,6.00,10,Nettverk
Finnsenderen,72,4.80,2.50,20,Webportal
ForenkletLisensiering,47,2.76,3.50,20,Webportal
Frekvensportalen,72,4.24,2.50,20,Webportal
Linkplanlegger,62,3.65,3.50,20,Webportal
Ekomstatistikken,67,3.94,2.50,20,Webportal
